id,formula,nsites,spg,e_form,e_above_hull,dft_bandgap_eV,dft_bandgap_dir_eV,dos_ef_dft,sk_bandgap_eV
agm2000125231,RbAg2,6,51,0.10917227,0.10917227,0.0,0.045700000000000005,3.5416176,0.06644558906555176
agm2000125234,RbCd2,3,47,0.25891337000000003,0.32291847,0.0,0.0,1.1008242,0.13988471031188965
agm2000125236,RbIn2,3,35,0.26359388,0.40255943,0.0,0.0,3.6130633,0.002223968505859375
agm2000125238,RbSb2,6,53,0.18677688,0.48663485,0.0,0.005,4.012045,0.02672863006591797
agm2000125239,RbSn2,6,51,0.0027875484,0.20599532,0.0,0.0,3.6343071,0.01195836067199707
agm2000125240,RbTe2,6,65,-0.30689842,0.3115016,0.0,0.0022,5.433995,0.0014848709106445312
agm2000125249,CdRh2,3,47,0.9391206999999999,1.0175755,0.0,0.0007,5.213663,0.0019555091857910156
agm2000125250,InRh2,3,65,0.5734243,0.85604435,0.0,0.0,1.7736480000000001,0.010890483856201172
agm2000125253,PdRh2,6,90,1.1934708,1.1934708,0.0,0.0041,11.317054,0.0016908645629882812
agm2000125256,SbRh2,6,90,0.44597018,0.81611186,0.0,0.1511,6.212904,0.0027327537536621094
agm2000125257,SnRh2,6,90,0.5542925,0.9270293,0.0,0.0007,8.470534,0.0013666152954101562
agm2000125258,TeRh2,6,51,0.72264683,0.9686121999999999,0.0,0.0129,5.920702,4.76837158203125e-06
agm2000125262,Ba2Rh,6,12,-0.04502189,0.12290749999999999,0.0,0.14150000000000001,5.1998754,0.007659912109375
agm2000125264,Cd2Rh,3,123,0.08457748,0.24148694,0.0,0.0,0.8286933999999999,0.014282703399658203
agm2000125267,In2Rh,6,129,0.030998448,0.37201974,0.0,0.0,4.799752,0.017720699310302734
agm2000125269,La2Rh,6,12,-0.30170995,0.29430154000000003,0.0,0.014,6.2862225,0.005225181579589844
agm2000125274,Pd2Rh,3,191,1.2947413,1.2947413,0.0,0.0,5.761974,0.023979902267456055
agm2000125279,Sb2Rh,3,187,-0.10711143000000001,0.36255047,0.0,0.0,2.3042579,0.0625770092010498
agm2000125280,Sn2Rh,3,187,-0.02038721,0.40053892,0.0,0.0,2.1741338,0.02246856689453125
agm2000125282,Te2Rh,6,2,-0.32526293,0.102205925,0.1705,0.3291,1.2871519999999999,1.226133108139038
agm2000125286,PdRu2,3,191,1.0702601999999999,1.0702601999999999,0.0,0.0036000000000000003,3.9720492,0.005672931671142578
agm2000125289,Ru2Rh,3,65,0.9112484999999999,0.9171825,0.0,0.0,5.035402,0.00925302505493164
agm2000125294,RuI2,6,164,0.029897755,0.08835941,1.0525,1.0553,-0.0391158,3.7723991870880127
agm2000125296,La2Ru,6,12,-0.05884321,0.22296578,0.014,0.1311,4.385608,0.008518695831298828
agm2000125303,RuRh2,3,191,0.67430013,0.6802342,0.0,0.0001,3.2938843,0.013350486755371094
agm2000125304,Sb2Ru,6,11,-0.005255535,0.25074026,0.0,0.0625,4.5296617,0.003505706787109375
agm2000125306,Sn2Ru,3,123,0.14184204,0.34334856,0.0,0.029500000000000002,1.5657405,0.011528968811035156
agm2000125311,BaSb2,6,65,-0.027387759,0.6948156400000001,0.0,0.0134,5.9968915,0.012521743774414062
agm2000125314,CsSb2,6,53,0.14337392000000002,0.47673795,0.0,0.0082,3.9916840000000002,0.001995086669921875
agm2000125318,Sb2I,3,65,0.4637233,0.61445284,0.0,0.0,2.9488652,0.03880167007446289
agm2000125328,Sb2Te,3,123,0.37216693,0.45510903,0.0,0.0047,2.0931916,0.023656129837036133
agm2000125334,Ba2Sb,6,129,-0.6574964,0.22982339999999998,0.07640000000000001,0.3541,3.4759436,0.020730018615722656
agm2000125337,SbI2,3,12,-0.08472993,0.21672913,0.0,0.0,1.6289482,0.0106658935546875
agm2000125342,SbTe2,6,164,0.0019941467000000003,0.10891303000000001,0.0,0.017,5.7884706999999995,0.005591630935668945
agm2000125345,Sc2Ag,6,187,0.46559066,0.6552853,0.0,0.018000000000000002,5.805998,0.0015544891357421875
agm2000125346,Sc2Br,3,164,0.054155696,0.8434408999999999,0.0,0.0014,6.664668,0.004196643829345703
agm2000125347,Sc2Cd,6,53,0.61889833,0.81961197,0.0,0.0234,9.100169,0.004111289978027344
agm2000125349,Sc2Cu,3,123,0.3433187,0.5469504,0.0,0.0019,3.7827313,0.004746913909912109
agm2000125352,Sc2Fe,6,12,0.28883263,0.4280811,0.0,0.0512,6.463812,0.008049488067626953
agm2000125353,Sc2Ga,6,53,0.4435822,0.93317044,0.0,0.0028,8.548477,0.011415481567382812
agm2000125357,Sc2In,6,53,0.52656883,0.90434784,0.0,0.0004,9.375633,0.021000385284423828
agm2000125358,LaSc2,6,65,0.6647026500000001,0.6647026500000001,0.0,0.002,14.210111,0.0016603469848632812
agm2000125359,Sc2Nb,3,164,0.5299790999999999,0.5299790999999999,0.0,0.0,3.765824,0.014502525329589844
agm2000125362,Sc2Pd,3,123,-0.05499596,0.6007104999999999,0.0,0.032,3.8712518,0.0003647804260253906
agm2000125366,Sc2Se,3,123,-0.18615693,0.8983926999999999,0.0,0.0378,4.0067534,0.0012943744659423828
agm2000125370,Sc2Te,6,129,-0.5003768,0.32112795,0.0,0.06330000000000001,6.2782593,0.0016100406646728516
agm2000125372,Sc2Ti,6,12,0.4712881,0.4712881,0.0,0.032600000000000004,11.949416,0.0006170272827148438
agm2000125376,YSc2,3,12,0.99479145,0.99479145,0.0,0.0028,6.994489,0.00013065338134765625
agm2000125377,Sc2Zn,6,53,0.6312928999999999,0.8985744,0.0,0.0016,9.916592,0.03205156326293945
agm2000125378,ZrSc2,3,164,0.45523944,0.47992286,0.0,0.0402,6.1887164,0.0020389556884765625
agm2000125382,ScBr2,3,164,-1.5173751,0.035390273,0.0,0.0,2.0397222,0.0031952857971191406
agm2000125383,ScCd2,6,123,0.08205657,0.32468559999999996,0.0,0.0025,5.5084343,0.006170749664306641
agm2000125385,ScCu2,3,123,0.36802375,0.6251206,0.0,0.0,1.8351537,0.0017657279968261719
agm2000125391,ScI2,3,164,-1.105374,0.01127203,0.0,0.0001,1.9170508,0.0056040287017822266
agm2000125392,ScIn2,6,53,0.13031459,0.49188977,0.0,0.0,7.0340366,0.02248382568359375
agm2000125393,La2Sc,6,157,0.5691824600000001,0.5691824600000001,0.0,0.125,8.804083,0.004726409912109375
agm2000125394,ScNb2,3,191,1.9852598,1.9852598,0.0,0.0,4.73366,0.0015988349914550781
