jid,sk_gap,alignn_gap,dft_gap
cc-839,19.937294,4.807842254638672,8.848054351745457
cc-843,11.791346,7.250511169433594,10.777341636586007
cc-847,13.748734,4.979249000549316,9.156903585637421
cc-851,5.795758,2.565791368484497,6.919855522354747
cc-855,10.391596,6.195821762084961,5.572075561590963
cc-859,7.680648,2.947779417037964,5.0063508415368725
cc-863,6.237355,3.735325574874878,6.1892298016499705
cc-867,9.381905,4.06610107421875,9.13867195685261
cc-871,2.47038,2.8174781799316406,4.368243834068454
cc-875,3.633838,2.769685983657837,4.496953691011977
cc-879,5.757189,3.1767077445983887,6.466513827496588
cc-883,4.477818,4.130497932434082,5.9794300136934035
cc-887,2.417015,2.87992000579834,7.041762532736775
cc-891,0.741809,2.485323905944824,2.3875270292229875
cc-895,5.975646,5.673557281494141,7.655107178721343
cc-899,8.923514,5.7969489097595215,9.716641800717396
cc-903,7.957853,4.722241401672363,8.384916557838743
cc-907,8.39065,4.481078147888184,9.45894997296789
cc-911,1.677605,5.428062915802002,9.035268689117855
cc-915,5.2958,5.094365119934082,11.434768728289077
cc-919,5.127308,3.3320093154907227,4.552192805091332
cc-923,14.472799,5.289048194885254,7.9533439719773735
cc-927,7.356262,3.7516064643859863,6.378076822197128
cc-931,5.744546,2.2202091217041016,5.01097677719869
cc-935,5.674958,2.421267032623291,6.28147640102387
cc-939,1.939229,2.3980870246887207,5.0664880051405055
cc-943,5.061258,4.557188987731934,7.125301488511958
cc-947,6.217205,5.7091193199157715,9.09132414478459
cc-951,7.096376,3.6382339000701904,7.179996374866393
cc-955,4.254889,1.8293640613555908,5.109481995409166
cc-959,5.916911,2.76273775100708,5.892081463843781
cc-963,4.669418,2.4758994579315186,7.307617776360076
cc-967,5.603313,3.027710199356079,6.016981726712866
cc-971,2.004479,2.0493710041046143,4.586207037898817
cc-975,4.754887,2.592146873474121,3.1260440519391017
cc-979,7.051739,2.7305638790130615,1.5570355209954334
cc-983,3.460324,3.924400568008423,5.243906243464347
cc-987,2.473537,2.8481979370117188,5.083359064613019
cc-991,0.574315,0.0780828595161438,2.2065713106871665
cc-995,0.588645,2.8763864040374756,5.049344831805533
cc-1003,2.641481,2.6755993366241455,5.802828116956941
cc-1007,4.552086,2.3836045265197754,5.566905398204225
cc-1011,6.86483,0.37504199147224426,1.4288698917768299
cc-1015,4.439846,4.100539207458496,3.2006032502531068
cc-1019,0.527065,0.6474243402481079,0.8000147556320474
cc-1023,0.475188,2.0106394290924072,0.7425987306530127
cc-1027,4.387147,5.290416717529297,7.7808237831778095
cc-1031,6.725686,3.6827383041381836,6.614815882537224
cc-1035,4.980526,2.071904182434082,3.4950304494346986
cc-1039,18.418175,5.815575122833252,9.843718974486158
cc-1043,5.007098,2.7045159339904785,4.804714469454101
cc-1047,0.430462,0.7840960025787354,9.004791936522349
cc-1051,3.000081,1.1390010118484497,4.317630655650917
cc-1055,7.741031,6.451471328735352,7.080130587343619
cc-1059,8.858267,3.3349051475524902,5.708404606683363
cc-1063,4.934088,4.236491680145264,6.142970445031791
cc-1067,7.029605,6.8018341064453125,10.280189609871806
cc-1071,11.9623,3.5447349548339844,3.758980896020782
cc-1075,2.620601,3.734544277191162,4.047421590228255
cc-1079,5.677302,2.3199398517608643,5.566361170479306
cc-1087,2.59046,4.150073051452637,7.114144820151102
cc-1091,4.00882,5.141626358032227,3.7641510594075203
cc-1095,4.367554,2.926162004470825,1.2353969355678551
cc-1099,10.036541,4.772334098815918,7.658916772795782
cc-1103,4.238788,1.5897159576416016,4.173682422409639
cc-1111,3.480557,3.6435859203338623,5.815889582355014
cc-1115,3.065906,3.370007038116455,6.135623370745375
cc-1119,3.42215,1.997068166732788,3.6822447868070958
cc-1123,5.99517,2.4803783893585205,6.906249829231755
cc-1127,1.511477,1.8257426023483276,3.7554434158088044
cc-1131,1.527905,0.08696462213993073,2.217727979048022
cc-1135,1.199396,4.704715728759766,2.768758550529279
cc-1139,3.205223,2.6034460067749023,4.673283473885979
cc-1143,5.19899,3.7902541160583496,7.037952938662335
cc-1147,4.461623,3.7192177772521973,5.48717603650348
cc-1151,17.625683,4.2845354080200195,16.75405051165481
cc-1155,26.024242,7.691257953643799,15.606818467523956
cc-1159,2.61259,3.9414873123168945,3.3304015626464714
cc-1163,4.676075,3.321460247039795,3.666734296646883
cc-1167,10.417041,2.8856074810028076,0.7453198692776112
cc-1171,4.944514,2.0179100036621094,4.538859225830798
cc-1175,6.681415,3.099541664123535,7.821640862546791
cc-1179,6.363187,4.288790225982666,7.042034646599235
cc-1183,4.378735,2.299771308898926,4.781312677282552
cc-1187,4.253619,3.9022011756896973,7.2224461374101345
cc-1191,5.351074,3.5491139888763428,7.382721202399004
cc-1195,4.890613,2.775413990020752,5.376425694482308
cc-1199,5.138267,4.432755947113037,6.342157792352423
cc-1203,16.724522,3.4476027488708496,10.635842428106871
cc-1207,2.707513,2.8143229484558105,5.078461015088739
cc-1211,7.666348,4.285519599914551,6.41644487680397
cc-1215,2.182286,3.5066120624542236,4.544845730804916
cc-1219,3.90033,2.7608275413513184,1.449278431461321
cc-1223,5.223809,4.11063289642334,7.20856833042468
cc-1227,1.574,2.2894906997680664,3.4811526424492443
cc-1231,8.468461,3.9475209712982178,9.685892934259428
cc-1235,2.144695,1.73447585105896,4.456136611642995
cc-1239,2.477026,1.553152084350586,3.4270019838197285
cc-1243,1.912766,0.7664210796356201,1.5404365753853813
cc-1247,3.418357,3.4756646156311035,4.901042776764898
cc-1251,4.982677,3.6794395446777344,6.170453945140239
cc-1255,5.344651,3.0721771717071533,6.62189084296118
cc-1259,2.834965,1.0314735174179077,3.499112157371597
cc-1264,8.654052,2.496530532836914,7.637691891523911
cc-1268,11.245924,4.592260360717773,8.54764064758975
cc-1272,1.560574,3.404430627822876,2.932026868005207
cc-1276,5.423197,3.8336944580078125,7.571840336808619
cc-1280,3.397747,2.8063549995422363,4.287970244642789
cc-1284,4.967842,2.4246368408203125,4.839000816124045
cc-1288,4.235366,0.3748069405555725,4.575866711125342
cc-1292,9.303535,3.8326711654663086,10.912310112366107
cc-1296,2.143708,4.798546314239502,11.506062560253564
cc-1300,0.509073,1.470832109451294,2.3366417369429895
cc-1305,12.280262,4.628652572631836,8.227906859199392
cc-1309,4.655945,3.3169140815734863,4.834374880462227
cc-1313,1.821525,0.026644811034202576,3.2329847998858336
cc-1317,2.430012,2.10260009765625,4.94403676703356
cc-1321,13.612931,5.969876289367676,6.916862269867688
cc-1325,9.294714,4.730656623840332,6.864072180550472
cc-1329,7.606064,4.52651309967041,8.86737443598011
cc-1333,1.801986,5.438774108886719,10.279101154421964
cc-1337,5.209367,4.794758319854736,8.404780869798312
cc-1,15.829794,3.341371774673462,8.828462153648347
cc-5,6.653658,4.4698638916015625,7.931302749118122
cc-9,6.020007,4.452487945556641,7.171016617405217
cc-13,7.296865,4.579290390014648,8.514986984094566
cc-17,5.970417,3.385878562927246,7.251290206830882
cc-21,6.923227,4.537420272827148,8.205049294752762
cc-25,14.535913,5.163640022277832,9.31364117041431
cc-29,15.13199,5.109833717346191,9.202074486805762
cc-33,14.542745,4.786288261413574,9.054316659490047
cc-37,13.079172,4.618664741516113,9.490787294875693
cc-41,10.472595,3.051764488220215,7.065164324908324
cc-45,15.112346,5.186415672302246,9.222755140352712
cc-49,8.385923,4.664791107177734,8.061373175373944
cc-53,17.659836,5.917901992797852,12.10498517152776
cc-57,11.059225,5.384143829345703,8.769413445494552
cc-61,9.240127,3.9843029975891113,6.593318887402891
cc-65,8.708006,3.92696213722229,8.747100108772843
cc-69,14.114214,4.921420097351074,8.45648250366569
cc-73,10.491813,3.7119345664978027,7.158771493594522
cc-77,6.662689,4.83394193649292,7.741367273121125
cc-81,10.441702,4.095762252807617,7.101083354753029
cc-85,9.299571,3.2434518337249756,5.64772321535481
cc-89,9.753117,5.174069404602051,8.55008967235189
cc-93,6.691016,3.8365137577056885,6.787336071336787
cc-97,11.395367,5.047418594360352,8.018923412830203
cc-101,0.884384,3.233243227005005,7.9288537243559825
cc-105,9.644604,3.60642147064209,5.907319840141535
cc-109,14.062349,4.526793003082275,8.852136059682355
cc-113,14.693325,6.198726177215576,9.283436531681266
cc-117,15.422348,4.8602495193481445,10.335700837813622
cc-121,5.811824,3.9948267936706543,7.4760562572227425
cc-125,22.787613,5.786915302276611,12.922143100494782
cc-129,14.092013,4.993926048278809,8.373487775615427
cc-133,9.675444,4.955905437469482,8.549817558489428
cc-137,5.142672,3.887240409851074,6.359028851824935
cc-141,4.801117,3.9376001358032227,5.932626429350304
cc-145,5.092937,3.7326347827911377,6.167188578790721
cc-149,6.809867,4.709676742553711,7.727217352273212
