id,formula,e_form,dft_bandgap_eV,dft_bandgap_dir_eV,sk_bandgap_eV
agm005279338,SrO6,-1.3363982,0.27640000000000003,0.27640000000000003,0.0003695487976074219
agm003222605,SrP2,-0.7924129,0.8359000000000001,1.048,2.1090152263641357
agm005007031,SrP2RuRh,-0.9617876999999999,0.0,0.0,0.012044429779052734
agm005097497,SrPClF6,-3.1624584000000002,5.0361,5.062,7.951321125030518
agm003220189,SrPd3O4,-1.4731728,0.0,0.0,0.00244903564453125
agm005754246,SrPdF5,-2.7628155,0.7283000000000001,0.7998000000000001,0.0004112720489501953
agm003280678,SrPHO4,-2.8423944,5.2505,5.2505,7.542517185211182
agm002232551,Sr(PPd)2,-0.8231006,0.0,0.0034000000000000002,4.4345855712890625e-05
agm005203249,SrPRhF,-2.1869254,0.0,0.0313,0.01016092300415039
agm002939548,Sr(PRu)2,-0.9282813,0.0,0.2947,0.005923032760620117
agm002321368,SrRh2,-0.26281804000000003,0.0,0.0,0.0003032684326171875
agm002224391,SrRhN,-0.66532093,0.0,0.0,0.0036377906799316406
agm003129152,SrRuO3,-2.190265,0.0,0.006200000000000001,0.0026874542236328125
agm003157637,SrS,-2.4834023,2.4974,2.9643,3.7755515575408936
agm005775256,Sr(S3F)2,-1.6388687,1.8819,2.1322,3.646609306335449
agm002383488,SrSb2,-0.6722383,0.0,0.0818,0.00041294097900390625
agm003221412,Sr(Sb3Ru)4,-0.31573,0.0,0.0,0.0010809898376464844
agm002169383,SrSbClO2,-2.5046942,3.1392,3.1404,4.631439208984375
agm002170497,SrSbIO2,-2.1665368,2.7047,2.8995,4.1763916015625
agm005599369,SrSbPd2,-0.7863967,0.0,0.0,0.005238771438598633
agm005026390,SrScAgTe3,-1.1207966,0.4233,0.4874,1.1194467544555664
agm005025841,SrScCuTe3,-1.116435,0.2257,0.2257,0.6020064353942871
agm003237496,Sr(ScS2)2,-2.3895104,1.3533,1.3533,2.9217581748962402
agm003241245,SrSe2O5,-1.9216611000000001,3.2695,3.336,5.176736354827881
agm002186575,SrSi2,-0.36679247,0.0,0.0395,1.621246337890625e-05
agm003475359,SrSi2Pd5,-0.72603434,0.0,0.0298,0.0010652542114257812
agm003217185,Sr(Si3N4)2,-1.3168234,3.3077,3.6544,4.115173816680908
agm002241057,SrSi3Rh,-0.6033989,0.0,0.0,0.013322591781616211
agm002210698,SrSiF6,-3.8469858,7.0445,7.0445,10.514262199401855
agm002187856,SrSiNi,-0.5215097,0.0,0.0,0.004209995269775391
agm005720268,SrSiP2,-0.6980198999999999,0.9112,0.9417000000000001,2.2594234943389893
agm003234312,Sr(SiPd)6,-0.6240901,0.0,0.031900000000000005,0.0008947849273681641
agm002240672,Sr(SiRu)2,-0.6976092500000001,0.0,0.0323,0.006444454193115234
agm002244011,SrSn2Rh,-0.64670235,0.0,0.0,0.022603988647460938
agm002243962,SrSn3Pd,-0.57773244,0.0,0.0007,0.00539708137512207
agm002136502,SrSnAs,-0.75938845,0.0,0.0,0.030775070190429688
agm005063481,SrSnGeO5,-2.5210588,2.3341,2.3563,4.5236053466796875
agm003598975,SrSnPd,-0.7548455,0.0,0.053700000000000005,0.01576685905456543
agm002243991,Sr(SnRh)2,-0.64015085,0.0,0.0,0.0028014183044433594
agm006013149,Sr(SO3)3,-2.244379,2.3958,2.3958,3.3830299377441406
agm005739584,SrTc2F11,-2.8427059999999997,0.0,0.0004,0.0008053779602050781
agm005747240,SrTcF6,-3.1571908,1.7219,1.7443,0.00015401840209960938
agm005021659,SrTcNiP2,-0.8297084,0.0,0.0,0.020770549774169922
agm005828583,Sr(TcP)2,-0.7409272,0.0,0.0002,0.0012469291687011719
agm003157764,SrTe,-1.7473812,1.7555,2.4787,3.1474101543426514
agm005078250,SrTePdO6,-1.8417633,1.6051000000000002,1.6421999999999999,0.3808152675628662
agm003277167,SrTi11O20,-3.4316328,0.0,0.029900000000000003,0.0007967948913574219
agm002149030,SrTiF6,-4.001252,4.6951,4.6951,7.287496566772461
agm002172621,SrTiO3,-3.5571823,2.0806,2.5758,0.0002384185791015625
agm003276774,SrV10O15,-2.4826748,0.8685,0.9114000000000001,0.00047397613525390625
agm003245764,SrV4(AgO6)2,-2.2147902999999998,2.1267,2.1436,2.3146252632141113
agm005063609,SrVGeO5,-2.6675863,1.069,1.1632,0.0001811981201171875
agm003244795,SrVPO6,-2.8795247,2.4661,2.5406,4.352329730987549
agm005024008,SrYAgTe3,-1.221818,0.6884,0.7372000000000001,1.5344500541687012
agm002146984,SrYCuTe3,-1.2084755,0.6171,0.86,1.190718173980713
agm004743744,SrY(NiP)2,-1.0511689,0.0,0.0,0.009330272674560547
agm003263457,SrZn,-0.20499969999999998,0.0,0.056100000000000004,0.0002760887145996094
agm005223935,SrZn2(AsO4)2,-2.1304688,2.9008000000000003,2.9008000000000003,6.760590076446533
agm002324326,SrZn2Pd3,-0.651102,0.0,0.0002,0.00048732757568359375
agm003409714,SrZn3Cu2,-0.19533499000000001,0.0,0.0162,0.003406524658203125
agm006044819,SrZn4Cu9,-0.1151687,0.0,0.0,0.005686759948730469
agm005917622,SrZn9Ni2,-0.22258736,0.0,0.0212,0.0032377243041992188
agm003670996,Sr(ZnAg2)4,-0.12839158,0.0,0.051000000000000004,0.007149696350097656
agm003263948,SrZnAsF,-2.0155187,0.7193,0.7193,2.094698429107666
agm005016171,SrZnCuGe2,-0.38172907,0.0,0.0,0.005903482437133789
agm002246473,SrZnGa3,-0.40219188,0.0,0.0,0.0093841552734375
agm005755214,SrZnH4,-0.38994774,3.0615,3.3731,3.2251479625701904
agm002295198,SrZnNi2,-0.19551457,0.0,0.10360000000000001,0.020000457763671875
agm003250002,SrZnP2O7,-2.8475463,4.4601,4.4601,6.693631172180176
agm003219386,SrZnSb2,-0.56440777,0.0,0.0275,0.01687908172607422
agm003201184,SrZnSi,-0.43525559999999996,0.0,0.031,0.3071732521057129
