mat_id,formula,pbe_ind,pbe_dir,sk,alignn,alignn_raw,e_form,abs_err,signed_err
agm003225797,S(OF)2,5.8359000000000005,5.8449,16.140987396240234,5.879436492919922,5.879436492919922,-2.120754,10.305087396240234,10.305087396240234
agm003247316,PH4N(OF)2,5.2257,5.2733,15.512150764465332,5.002718925476074,5.002718925476074,-1.8075955,10.286450764465332,10.286450764465332
agm005863189,P(H4N)3,3.8878,3.8878,14.172866821289062,4.211206436157227,4.211206436157227,-0.42158629999999997,10.285066821289062,10.285066821289062
agm003279476,H18SO12,5.1718,5.2089,15.437265396118164,5.408261775970459,5.408261775970459,-1.4649785,10.265465396118163,10.265465396118163
agm003220554,H3N,4.2957,4.2957,14.481681823730469,3.974630832672119,3.974630832672119,-0.541509,10.185981823730469,10.185981823730469
agm005276661,H3F2,8.494,8.5954,18.66152572631836,7.538599014282227,7.538599014282227,-1.5266216,10.16752572631836,10.16752572631836
agm002153328,H3IO,3.9852,3.9852,14.103036880493164,3.5436453819274902,3.5436453819274902,-0.89251286,10.117836880493165,10.117836880493165
agm003194260,H3BrO,4.5968,4.5968,14.712360382080078,4.146708965301514,4.146708965301514,-1.0134027,10.115560382080078,10.115560382080078
agm002153440,H4NCl,5.0631,5.079,15.146492004394531,4.986094951629639,4.986094951629639,-0.8747372,10.08339200439453,10.08339200439453
agm003232231,H7NF4,7.2332,7.2332,17.259029388427734,7.2254438400268555,7.2254438400268555,-1.5662273999999998,10.025829388427734,10.025829388427734
agm003236900,H8NF5,7.3291,7.3291,17.34945297241211,7.460543632507324,7.460543632507324,-1.6134260999999999,10.020352972412109,10.020352972412109
agm003212204,PH4I,3.7941000000000003,3.8572,13.79649829864502,3.839933395385742,3.839933395385742,-0.1825716,10.00239829864502,10.00239829864502
agm005819601,H4OF,7.4187,7.5262,17.416488647460938,6.416019439697266,6.416019439697266,-1.3848257,9.997788647460936,9.997788647460936
agm003211259,H4IN,3.7205,3.7555,13.71347713470459,3.6756744384765625,3.6756744384765625,-0.6157424,9.99297713470459,9.99297713470459
agm003236752,H5NO,4.7768,4.7768,14.74588394165039,4.718088150024414,4.718088150024414,-0.9092096,9.969083941650391,9.969083941650391
agm003245056,BeH4NF3,6.7959,6.8228,16.710235595703125,6.474743843078613,6.474743843078613,-1.9950898,9.914335595703125,9.914335595703125
agm003279087,H8S(NO2)2,5.0521,5.0521,14.9478178024292,5.089045524597168,5.089045524597168,-1.2171444,9.8957178024292,9.8957178024292
agm003279491,PH8N2O3F,4.8043,4.8043,14.699613571166992,4.852818012237549,4.852818012237549,-1.4256005,9.895313571166993,9.895313571166993
agm003228631,H7ClO3,5.2626,5.2626,15.125946044921875,5.188246250152588,5.188246250152588,-1.3191955,9.863346044921876,9.863346044921876
agm005996223,H9ClO3,5.8849,5.9041,15.745317459106445,4.736114025115967,4.736114025115967,-1.123521,9.860417459106445,9.860417459106445
agm003245701,H10SO8,5.461,5.4657,15.311941146850586,5.485647201538086,5.485647201538086,-1.5148871,9.850941146850586,9.850941146850586
agm003258345,SF6,5.7252,5.7252,15.535604476928711,5.822240829467773,5.822240829467773,-2.2158103,9.81040447692871,9.81040447692871
agm005882616,H5NCl2,5.3659,5.3837,15.167183876037598,4.146076679229736,4.146076679229736,-0.88257176,9.801283876037598,9.801283876037598
