mat_id,formula,pbe_ind,pbe_dir,sk,alignn,alignn_raw,e_form,abs_err,signed_err
agm002362651,Cs2KCdF6,0.0,0.0015,0.0011072158813476562,4.770022392272949,4.770022392272949,-2.631034,4.770022392272949,4.770022392272949
agm002389124,Rb2ZnF5,0.0,0.0024000000000000002,0.0009245872497558594,4.716251373291016,4.716251373291016,-2.6041431,4.716251373291016,4.716251373291016
agm005543938,BaF4,0.8286,0.8286,0.07848644256591797,5.520092010498047,5.520092010498047,-2.612735,4.691492010498047,4.691492010498047
agm004927232,K2NaCdF6,0.0,0.0005,0.00037384033203125,4.656648635864258,4.656648635864258,-2.618044,4.656648635864258,4.656648635864258
agm005581040,Na5Zn3F12,0.0,0.0001,0.0014481544494628906,4.583111763000488,4.583111763000488,-2.7155716,4.583111763000488,4.583111763000488
agm005609964,Na3(CO3)2,0.0,0.004,0.0032482147216796875,4.553458213806152,4.553458213806152,-1.9686825,4.553458213806152,4.553458213806152
agm005818375,Y(CO3)2,0.0,0.001,0.0009860992431640625,4.5503926277160645,4.5503926277160645,-2.3207164000000002,4.5503926277160645,4.5503926277160645
agm004705390,Rb4LiZn3F12,0.0,0.0,0.0032444000244140625,4.536460876464844,4.536460876464844,-2.7667916,4.536460876464844,4.536460876464844
agm004927210,KRb2CdF6,0.0,0.0,0.00023555755615234375,4.533773422241211,4.533773422241211,-2.6155887,4.533773422241211,4.533773422241211
agm004496670,Cs2YZn3F12,0.0,0.0,0.0030069351196289062,4.533485412597656,4.533485412597656,-3.0418377,4.533485412597656,4.533485412597656
agm004668392,Rb3Ca(PO4)2,0.0,0.0,0.00025463104248046875,4.510312080383301,4.510312080383301,-2.7327136999999997,4.510312080383301,4.510312080383301
agm003299388,RbN6,0.0,0.0,0.0009691715240478516,4.487943649291992,4.487943649291992,-0.37835532,4.487943649291992,4.487943649291992
agm004497632,Cs2BaZn3F12,0.0,0.004200000000000001,0.0004305839538574219,4.4863481521606445,4.4863481521606445,-2.7747571,4.4863481521606445,4.4863481521606445
agm003498950,KZn2F6,0.0,0.0,0.0005540847778320312,4.470941066741943,4.470941066741943,-2.508614,4.470941066741943,4.470941066741943
agm004497569,Cs2ScZn3F12,0.0,0.0,0.0063991546630859375,4.454720497131348,4.454720497131348,-3.0305548,4.454720497131348,4.454720497131348
agm005731536,CsTeF6,0.059500000000000004,0.4481,0.0018892288208007812,4.507201671600342,4.507201671600342,-2.632926,4.447701671600342,4.447701671600342
agm005845449,Rb2TeF7,0.0318,0.0318,0.00018596649169921875,4.466080665588379,4.466080665588379,-2.6791568,4.434280665588379,4.434280665588379
agm004705457,K4LiZn3F12,0.0,0.0,0.006575107574462891,4.428882598876953,4.428882598876953,-2.7922983,4.428882598876953,4.428882598876953
agm003571514,K3CdF6,0.0,0.0045000000000000005,0.0004482269287109375,4.425772666931152,4.425772666931152,-2.620605,4.425772666931152,4.425772666931152
agm004571373,Cs2Na(CO3)2,0.0,0.0247,0.0024166107177734375,4.412259101867676,4.412259101867676,-1.9843215,4.412259101867676,4.412259101867676
agm003263293,BaF3,0.58,0.7756000000000001,0.0013895034790039062,4.969931602478027,4.969931602478027,-3.2154257,4.389931602478027,4.389931602478027
agm004571376,K2Na(CO3)2,0.0,0.0066,0.000194549560546875,4.3647990226745605,4.3647990226745605,-2.0124028,4.3647990226745605,4.3647990226745605
agm005676548,CsZn2F6,0.0,0.0,0.0006871223449707031,4.363574028015137,4.363574028015137,-2.510827,4.363574028015137,4.363574028015137
