id,sk_gap,alignn_gap,dft_gap
agm1000001212,1.8033080101013184,1.4384956359863281,0.0
agm1000016821,0.0097479820251464,0.22530174255371094,0.0
agm1000016073,2.4523279666900635,1.021056056022644,1.3141
agm1000011426,0.0325798988342285,0.35899487137794495,0.0
agm1000010283,2.203434705734253,1.1487998962402344,0.6247
agm1000006176,0.0588808059692382,0.2621869444847107,0.3055
agm1000003751,0.0831441879272461,0.20627790689468384,0.0
agm1000010681,0.8587055206298828,0.17169295251369476,0.6926
agm1000003323,0.4229602813720703,0.657728910446167,0.0
agm1000013589,0.6521115303039551,1.216836929321289,0.0
agm1000012539,5.995241165161133,3.533522367477417,4.6105
agm1000015203,9.288482666015623,4.756659030914307,3.5074
agm1000019604,7.26942777633667,4.223357200622559,5.2659
agm1000019982,15.15099811553955,7.164536952972412,8.0201
agm1000002891,14.382014274597168,6.811135768890381,7.6086
agm1000013078,10.250496864318848,4.905675411224365,6.5374
agm1000007294,5.164167404174805,2.7314629554748535,3.4197
agm1000003958,2.580875873565674,2.114576816558838,0.7103
agm1000017795,4.073328495025635,2.88272762298584,2.3492
agm1000018197,4.5390214920043945,1.291932225227356,2.0034
agm1000017707,2.9995791912078857,0.25584617257118225,1.5412
agm1000018879,1.001298904418945,0.3523117005825043,1.1122
agm1000006073,2.9759373664855957,0.384856253862381,0.588
agm1000014367,5.488753318786621,3.0369784832000732,2.4609
agm1000013491,4.8025712966918945,2.4738683700561523,2.2095
agm1000013821,4.806866645812988,2.5450148582458496,2.4352
agm1000016819,0.0021619796752929,0.043346911668777466,0.0
agm1000010886,0.0237116813659667,0.0790185034275055,0.3215
agm1000001123,0.5398306846618652,0.295871376991272,0.0
agm1000019996,3.0326404571533203,1.5607327222824097,1.6864
agm1000013622,1.9992799758911133,1.6977431774139404,1.3657
agm1000017193,0.9964261054992676,1.1441714763641357,0.5337000000000001
agm1000016277,0.0026848316192626,0.43023499846458435,0.0137
agm1000014499,0.4920153617858886,0.6626055240631104,0.4134
agm1000004622,0.6116001605987549,0.9508771896362305,0.4788
agm1000001256,0.0179657936096191,0.09010440111160278,0.0
agm1000001773,0.2748832702636719,0.08813010901212692,0.0
agm1000006409,0.4881830215454101,0.13555316627025604,0.235
agm1000004025,0.1339378356933593,0.8736534118652344,0.0
agm1000019508,6.363532066345215,6.038928985595703,5.9741
agm1000005201,8.014142036437988,3.8750009536743164,6.1964
agm1000007434,3.733830451965332,2.489689350128174,2.8319
agm1000004609,1.9142167568206787,2.194528818130493,1.9083
agm1000000894,3.020076274871826,2.4030280113220215,0.7525000000000001
agm1000017061,2.798769474029541,1.610873818397522,1.499
agm1000003346,3.884529829025269,1.2213646173477173,2.9105
agm1000010220,0.0428647994995117,0.38045093417167664,0.0
agm1000017184,1.101670503616333,0.6278009414672852,0.644
agm1000006185,0.7193751335144043,0.855507493019104,1.1676
agm1000003473,0.5535850524902344,0.10707256197929382,0.2175
agm1000010358,0.1128389835357666,0.06795620918273926,0.0
agm1000005200,4.145063400268555,0.7037022113800049,0.2697
agm1000012447,0.0243964195251464,0.3335297703742981,1.1962
agm1000010625,5.30018424987793,3.9635424613952637,3.6572
agm1000013727,5.734382152557373,4.131444931030273,4.4914
agm1000008744,5.914429187774658,5.065914154052734,3.8204
agm1000019475,8.613479614257812,6.0205888748168945,4.6009
agm1000010978,8.397782325744629,5.376263618469238,4.8994
agm1000001194,8.460599899291992,6.160749912261963,4.3838
agm1000009363,4.667707443237305,2.844146728515625,4.1112
agm1000007443,4.634872913360596,2.9913883209228516,2.2578
agm1000019407,4.920481204986572,1.9840370416641235,1.7087
agm1000017117,4.778651237487793,1.6641333103179932,1.5533
agm1000017675,6.3255462646484375,1.8801794052124023,1.4126
