id,Tc_K,dosef,debye_K,lambda,wlog_K,sk_bandgap_eV
agm005210114,2.442000,4.945622,435.973938,0.490586,212.133121,0.000466
agm001620333,3.386000,4.342417,443.984741,0.520048,233.485258,0.000518
agm001388405,5.470000,5.362074,268.972809,0.785009,115.900626,0.003473
agm001230207,11.073000,3.503571,522.611084,0.744984,265.402532,0.002520
agm002176507,2.726000,1.144507,519.194458,0.454813,329.610716,0.058643
agm003157370,17.409000,3.497679,320.043549,1.421813,145.041270,0.003631
agm002200612,0.734000,2.860723,353.560303,0.375059,253.704982,0.000649
agm002101826,14.195000,2.277102,461.344940,1.044291,179.455525,0.001900
agm001933967,8.285000,2.452956,533.920654,0.696088,231.925613,0.006348
agm002713597,11.855000,2.740449,416.280731,0.835716,222.415993,0.005429
agm002180946,15.222000,5.447600,542.656738,1.118698,172.930923,0.006431
agm003157835,2.124000,0.128289,972.455200,0.389805,579.218110,0.010095
agm004456226,3.435000,2.621450,215.541382,0.646394,117.344528,0.004693
